Index,Red Water STD,Red Non-Water STD,Green Water STD,Green Non-Water STD,Blue Water STD,Blue Non-Water STD
6406,39.4007272,3.079810976,43.01481128,2.942701655,51.04838743,6.147645435
6408,25.27530723,4.727596687,27.93348117,7.142268854,34.67121243,8.212646784
6409,60.84453661,4.198829974,60.11624927,5.827670816,58.41564317,6.406948845
6412,34.07582093,5.816417123,37.10253318,5.861304593,44.32166893,10.76953405
6413,9.026677021,35.79530622,10.52493937,32.11210153,15.9608638,22.89953952
6414,27.22074031,4.782091127,30.26767918,6.975593738,37.81774088,9.354451696
6418,49.13099921,5.265256144,47.71898119,6.528266624,44.99863219,7.903517898
6421,28.45082067,5.328011378,29.17801489,10.04983968,40.85732809,7.178773107
6424,12.74698632,30.70727464,16.41789853,28.43811429,26.33024668,20.29684801
6425,15.42199389,30.2641551,19.7078609,27.95488878,28.26091823,19.7373853
6426,37.23386202,4.788570823,36.50402584,5.869782414,38.50793763,5.352154815
6435,13.04871153,3.677651646,14.47538352,3.162107802,19.24834034,3.063883218
7028,15.31114054,27.34837731,20.92914663,19.63117294,24.95230899,13.84280477
7029,24.17434234,15.31756972,31.52782426,14.28226121,46.27061011,9.847598007
7032,7.959792626,65.36236981,12.08325318,55.36478986,15.80009918,34.83535802
7034,9.725762787,9.28706041,15.28919152,6.016406583,21.96961321,4.190956515
7035,12.69273065,7.146771174,18.60780278,4.532687474,29.14427283,3.172078364
7036,15.39582573,40.40863205,21.74643033,28.22818458,28.33538951,20.87117715
7037,8.235697144,6.309799414,10.70309398,3.342801779,21.24483695,2.662855342
7038,16.41751911,31.89985455,22.14671832,21.39323857,34.60238134,15.23471747
7040,17.2981831,30.45178075,21.33632459,14.79630286,33.06895905,8.252490497
7041,39.62251284,5.583223675,34.52358284,8.933706496,36.83932094,8.353856795
7042,36.68025139,9.008983204,34.23407323,14.78621523,39.55553268,10.58728794
7044,28.95124612,12.69622279,26.99584518,21.27230023,32.23766815,21.48536651
7045,32.56539201,9.402960943,28.95798348,15.29368719,33.24115633,17.80575608
7046,11.03881793,48.37274398,16.11284831,32.91173782,25.13923178,24.74876336
7047,20.74435348,23.03166547,25.40033175,18.84609975,36.68023227,14.30590593
7048,16.42785446,29.47117471,18.08334503,27.98583219,22.77690557,31.1078426
7049,22.74037637,44.93906029,23.84992156,35.29736063,31.5027944,35.70873833
7050,12.15812261,61.45759011,16.73739813,46.27405026,24.39376141,42.4436195
7051,8.588909906,68.55109496,13.06621072,49.15361192,16.34216439,33.82389692
7052,--,0,--,0,--,0
7053,13.67950536,59.44440809,18.00107923,44.14995015,28.11263648,38.52086989
7054,--,61.07625893,--,49.55581469,--,41.14144284
7055,7.080926352,58.44896875,10.91101457,45.06438284,20.5487732,37.22693644
7056,--,45.96906475,--,38.9677612,--,27.91168397
7057,13.72748431,30.73513371,16.54879415,22.10993108,25.57326712,15.79261305
7058,18.4901273,32.89270294,22.18101955,24.14471969,30.07643454,16.35788398
7059,15.89200354,27.90111745,20.93672878,20.10513344,25.45803831,13.40520871
7060,18.59799568,30.88352653,23.81275998,23.17441653,31.82533809,16.56148578
7061,30.85289936,5.94401782,27.10125093,12.70750353,28.7221403,17.73401199
7062,10.18893492,61.24002422,13.68408848,43.9802594,20.55613999,38.49796508
7063,22.73712606,19.48601006,33.00212149,14.41984015,44.65924681,12.21532365
7064,20.84306388,20.95292603,26.98566563,14.49460436,37.15002768,9.364008773
7065,11.34447419,61.86351279,14.24551526,43.464373,22.02396163,34.36364649
7066,17.36161749,41.07252801,22.14968269,24.97442903,32.7910303,15.57714225
7067,20.23636312,17.4479024,21.46518736,14.7317773,26.62232051,12.93611659
7068,8.020199943,35.43466435,10.21827522,26.62113508,13.1546956,17.02712397
7070,19.75089598,55.20350469,20.78721725,47.14475586,22.1701103,46.31467338
7071,17.17609781,21.30145691,19.66853495,16.36919234,31.2449845,15.34424318
7072,39.54768543,4.153331441,34.3355317,10.5350373,36.58646842,13.210885
7075,12.28495086,59.3781248,16.96936737,39.99512656,26.15217047,29.20054093
7076,7.206751129,66.06482335,10.16178158,44.36793873,17.98921043,31.58185197
7077,21.70223085,32.27293382,25.70051163,19.25846648,40.97038545,8.571978741
7079,11.57765913,47.74879121,16.00793347,31.44945435,24.05310333,23.23567783
7082,15.27304855,33.27691149,18.86940298,27.41008335,31.63740943,19.03812997
7084,16.755497,27.13903432,18.56781434,20.20009862,26.9273566,15.60245043
7086,15.24833059,39.56500812,17.01512379,27.39367668,27.41433182,18.5103889
7087,31.73913961,8.350603388,31.81170538,8.355689161,40.30005255,10.7399644
7088,17.19444859,20.39695728,29.37403537,11.62074975,28.67097599,5.267965238
7089,10.07087503,60.58611871,13.36789384,40.04047444,22.63218777,27.2758325
7090,19.05490363,18.87168808,28.17943008,10.89601424,36.28003463,7.501323779
7091,44.87284212,25.60079109,43.07060377,21.92170403,55.02777076,23.88018295
7092,15.9343114,49.20202967,17.83638622,39.7454887,31.18695771,32.25954044
7093,15.83040953,27.59896203,22.52937479,21.47355232,29.39417624,15.15584225
7094,21.66291578,22.17361459,28.9498627,17.79128315,40.65338654,12.70700623
7095,22.57143583,24.34449236,27.35368291,18.10300418,41.06845377,17.94991285
7096,--,75.62809847,--,62.25461883,--,47.61726507
7097,15.54877352,43.56183993,19.66867645,28.81894323,27.31097969,19.64614126
7098,15.25548619,36.94844881,19.12862844,20.37042226,35.03629848,8.247360093
7099,11.49861704,35.79548442,14.45630738,30.40912032,19.61878137,21.94902522
7100,22.56157748,19.34077461,27.72231514,13.4505256,42.75550769,9.670495042
7131,17.49652295,68.39562742,20.91840051,58.0279121,34.26013016,56.05860253
7132,20.83006471,35.88943674,23.33821004,25.85652631,44.94672094,20.65449535
7133,19.30317988,26.09119146,21.19267538,25.39750114,27.89002303,24.4812644
7135,13.4651327,35.05796801,19.7084049,25.64614056,29.04389121,14.6394395
7136,11.97857567,47.56323383,13.31126957,44.9655907,21.01189266,32.78640626
7137,9.954621182,33.94970134,11.4039597,30.190109,18.71477835,23.67813971
